iter	Passed	Remaining
296	2795	6616
297	2802	6602
298	2812	6592
299	2826	6595
300	2834	6582
301	2850	6587
302	2855	6569
303	2864	6557
304	2870	6541
305	2879	6531
306	2886	6515
307	2892	6498
308	2897	6480
309	2903	6463
310	2910	6448
311	2916	6431
312	2926	6423
313	2931	6405
314	2939	6392
315	2946	6377
316	2951	6359
317	2960	6349
318	2966	6332
319	2977	6327
320	2985	6315
321	2992	6301
322	3000	6288
323	3008	6276
324	3015	6262
325	3036	6277
326	3044	6265
327	3053	6255
328	3059	6240
329	3065	6224
330	3075	6216
331	3083	6204
332	3097	6204
333	3131	6244
334	3142	6237
335	3151	6228
336	3159	6215
337	3165	6200
338	3172	6186
339	3178	6170
340	3185	6155
341	3192	6142
342	3200	6130
343	3213	6127
344	3225	6123
345	3236	6117
346	3244	6104
347	3250	6089
348	3266	6092
349	3273	6080
350	3282	6069
351	3290	6057
352	3296	6042
353	3305	6031
354	3311	6015
355	3317	6001
356	3325	5988
357	3330	5972
358	3336	5958
359	3342	5942
360	3348	5927
361	3356	5915
362	3362	5900
363	3370	5889
364	3376	5874
365	3385	5864
366	3392	5851
367	3404	5846
368	3410	5831
369	3422	5826
370	3429	5813
371	3442	5811
372	3453	5805
373	3466	5802
374	3472	5787
375	3482	5778
376	3488	5764
377	3498	5757
378	3505	5743
379	3514	5733
380	3519	5718
381	3525	5703
382	3534	5693
383	3540	5679
384	3546	5665
385	3552	5650
386	3559	5638
387	3565	5624
388	3572	5610
389	3584	5606
390	3597	5603
391	3603	5588
392	3624	5597
393	3631	5585
394	3637	5571
395	3647	5562
396	3653	5549
397	3666	5545
398	3674	5534
399	3680	5521
400	3687	5508
401	3693	5494
402	3699	5481
403	3708	5470
404	3713	5455
405	3719	5441
406	3724	5427
407	3730	5412
408	3737	5400
409	3742	5385
410	3748	5371
411	3756	5361
412	3762	5347
413	3769	5336
414	3775	5322
415	3783	5310
416	3790	5299
417	3808	5303
418	3816	5292
419	3822	5279
420	3828	5265
421	3835	5253
422	3841	5240
423	3848	5228
424	3855	5215
425	3861	5203
426	3867	5190
427	3874	5177
428	3881	5166
429	3889	5155
430	3896	5143
431	3903	5131
432	3911	5121
433	3916	5107
434	3923	5096
435	3930	5083
436	3935	5070
437	3942	5059
438	3948	5045
439	3954	5032
440	3961	5021
441	3968	5010
442	3977	5000
443	3986	4992
444	3995	4982
445	4005	4975
446	4012	4963
447	4019	4952
448	4026	4941
449	4045	4943
450	4055	4936
451	4062	4924
452	4079	4926
453	4089	4918
454	4094	4904
455	4103	4894
456	4108	4881
457	4116	4870
458	4122	4858
459	4127	4845
460	4134	4834
461	4139	4820
462	4148	4811
463	4153	4798
464	4160	4786
465	4167	4775
466	4173	4762
467	4180	4752
468	4188	4742
469	4197	4733
470	4204	4722
471	4227	4728
472	4241	4725
473	4255	4722
474	4264	4713
475	4288	4721
476	4301	4715
477	4309	4705
478	4316	4694
479	4323	4683
480	4330	4673
481	4337	4661
482	4343	4648
483	4349	4636
484	4355	4624
485	4369	4621
486	4378	4611
487	4399	4615
488	4406	4605
489	4413	4593
490	4419	4581
491	4425	4569
492	4432	4558
493	4438	4546
494	4444	4534
495	4451	4522
496	4457	4511
497	4465	4501
498	4473	4490
499	4479	4479
500	4485	4467
501	4492	4456
502	4499	4445
503	4505	4434
504	4512	4423
505	4519	4412
506	4525	4400
507	4532	4389
508	4539	4378
509	4546	4367
510	4552	4356
511	4562	4348
512	4570	4338
513	4580	4330
514	4596	4329
515	4604	4318
516	4647	4341
517	4693	4367
518	4700	4356
519	4710	4348
520	4717	4337
521	4725	4327
522	4730	4314
523	4741	4307
524	4747	4295
525	4754	4284
526	4759	4272
527	4766	4261
528	4775	4251
529	4782	4240
530	4788	4229
531	4794	4217
532	4803	4209
533	4810	4198
534	4819	4189
535	4825	4177
536	4832	4166
537	4838	4154
538	4851	4149
539	4860	4140
540	4867	4130
541	4873	4118
542	4880	4107
543	4887	4096
544	4892	4084
545	4901	4075
546	4909	4066
547	4915	4054
548	4920	4042
549	4927	4031
550	4936	4022
551	4943	4012
552	4949	4000
553	4954	3988
554	4961	3978
555	4966	3966
556	4974	3956
557	4987	3950
558	5006	3950
559	5014	3939
560	5030	3936
561	5037	3925
562	5045	3916
563	5051	3904
564	5057	3894
565	5066	3884
566	5073	3874
567	5078	3862
568	5085	3851
569	5091	3840
570	5096	3829
571	5103	3818
572	5108	3807
573	5114	3795
574	5122	3785
575	5127	3774
576	5136	3765
577	5142	3754
578	5147	3742
579	5156	3734
580	5162	3722
581	5170	3713
582	5178	3703
583	5186	3694
584	5201	3689
585	5207	3678
586	5214	3668
587	5221	3658
588	5255	3667
589	5282	3671
590	5290	3661
591	5305	3656
592	5312	3646
593	5318	3635
594	5331	3628
595	5337	3617
596	5346	3609
597	5353	3598
598	5365	3591
599	5375	3583
600	5392	3579
601	5420	3583
602	5434	3578
603	5443	3568
604	5452	3559
605	5457	3548
606	5463	3537
607	5471	3527
608	5479	3517
609	5486	3507
610	5491	3496
611	5499	3486
612	5505	3475
613	5512	3465
614	5519	3455
615	5525	3444
616	5532	3434
617	5538	3423
618	5545	3413
619	5551	3402
620	5556	3390
621	5565	3382
622	5577	3375
623	5587	3366
624	5595	3357
625	5601	3346
626	5617	3341
627	5630	3335
628	5641	3327
629	5647	3316
630	5652	3305
631	5660	3295
632	5669	3286
633	5676	3276
634	5681	3266
635	5690	3256
636	5697	3246
637	5704	3236
638	5710	3226
639	5716	3215
640	5724	3205
641	5730	3195
642	5738	3186
643	5744	3175
644	5750	3164
645	5758	3155
646	5767	3146
647	5774	3137
648	5788	3130
649	5800	3123
650	5820	3120
651	5831	3112
652	5841	3104
653	5848	3094
654	5855	3084
655	5864	3075
656	5869	3064
657	5875	3053
658	5882	3043
659	5888	3033
660	5895	3023
661	5901	3013
662	5906	3002
663	5915	2993
664	5921	2983
665	5929	2973
666	5934	2962
667	5940	2952
668	5947	2942
669	5954	2932
670	5965	2925
671	5972	2915
672	5981	2906
673	5988	2896
674	5996	2887
675	6006	2879
676	6014	2869
677	6023	2860
678	6032	2852
679	6040	2842
680	6048	2833
681	6054	2823
682	6061	2813
683	6067	2803
684	6074	2793
685	6082	2784
686	6088	2774
687	6094	2763
688	6100	2753
689	6107	2743
690	6113	2733
691	6120	2723
692	6125	2713
693	6131	2703
694	6137	2693
695	6145	2684
696	6152	2674
697	6159	2664
698	6185	2663
699	6203	2658
700	6210	2648
701	6221	2641
702	6236	2634
703	6263	2633
704	6272	2624
705	6282	2616
706	6291	2607
707	6309	2602
708	6326	2596
709	6334	2587
710	6345	2579
711	6350	2568
712	6360	2560
713	6368	2551
714	6377	2542
715	6384	2532
716	6391	2522
717	6397	2512
718	6405	2503
719	6412	2493
720	6417	2483
721	6430	2476
722	6438	2466
723	6445	2457
724	6450	2446
725	6461	2438
726	6467	2428
727	6475	2419
728	6481	2409
729	6489	2400
730	6494	2389
731	6500	2380
732	6508	2370
733	6513	2360
734	6519	2350
735	6525	2340
736	6533	2331
737	6540	2321
738	6546	2312
739	6554	2302
740	6562	2293
741	6577	2286
742	6588	2278
743	6596	2269
744	6604	2260
745	6615	2252
746	6634	2246
747	6641	2237
748	6649	2228
749	6657	2219
750	6664	2209
751	6670	2199
752	6675	2189
753	6682	2180
754	6688	2170
755	6696	2161
756	6701	2151
757	6711	2142
758	6718	2133
759	6724	2123
760	6730	2113
761	6737	2104
762	6745	2095
763	6752	2085
764	6762	2077
765	6776	2069
766	6783	2060
767	6792	2051
768	6803	2043
769	6816	2036
770	6827	2027
771	6841	2020
772	6849	2011
773	6856	2002
774	6863	1992
775	6868	1982
776	6876	1973
777	6882	1963
778	6889	1954
779	6894	1944
780	6900	1934
781	6907	1925
782	6915	1916
783	6922	1907
784	6927	1897
785	6936	1888
786	6943	1879
787	6949	1869
788	6955	1860
789	6962	1850
790	6978	1843
791	6987	1834
792	6993	1825
793	7007	1818
794	7016	1809
795	7022	1799
796	7030	1790
797	7040	1782
798	7050	1773
799	7056	1764
800	7065	1755
801	7071	1745
802	7077	1736
803	7083	1726
804	7088	1717
805	7096	1708
806	7102	1698
807	7108	1689
808	7114	1679
809	7119	1670
810	7125	1660
811	7131	1651
812	7137	1641
813	7144	1632
814	7149	1622
815	7158	1614
816	7178	1607
817	7199	1601
818	7205	1592
819	7212	1583
820	7218	1573
821	7249	1569
822	7274	1564
823	7281	1555
824	7299	1548
825	7309	1539
826	7315	1530
827	7322	1521
828	7328	1511
829	7336	1502
830	7342	1493
831	7347	1483
832	7360	1475
833	7375	1468
834	7387	1459
835	7395	1450
836	7403	1441
837	7412	1433
838	7422	1424
839	7429	1415
840	7436	1405
841	7443	1396
842	7453	1388
843	7458	1378
844	7464	1369
845	7470	1359
846	7476	1350
847	7482	1341
848	7488	1331
849	7495	1322
850	7500	1313
851	7505	1303
852	7515	1295
853	7520	1285
854	7534	1277
855	7543	1269
856	7550	1259
857	7563	1251
858	7570	1242
859	7592	1235
860	7671	1238
861	7705	1233
862	7743	1229
863	7750	1220
864	7757	1210
865	7777	1203
866	7790	1195
867	7811	1187
868	7840	1181
869	7855	1173
870	7862	1164
871	7877	1156
872	7883	1146
873	7889	1137
874	7896	1128
875	7905	1119
876	7912	1109
877	7925	1101
878	7933	1092
879	7941	1082
880	7947	1073
881	7953	1064
882	7962	1055
883	7969	1045
884	7977	1036
885	7990	1028
886	7999	1019
887	8012	1010
888	8020	1001
889	8029	992
890	8046	984
891	8052	974
892	8058	965
893	8068	956
894	8073	947
895	8079	937
896	8085	928
897	8092	919
898	8099	910
899	8106	900
900	8112	891
901	8118	882
902	8124	872
903	8133	863
904	8142	854
905	8148	845
906	8155	836
907	8162	827
908	8173	818
909	8185	809
910	8192	800
911	8200	791
912	8210	782
913	8233	774
914	8242	765
915	8252	756
916	8259	747
917	8266	738
918	8271	729
919	8278	719
920	8285	710
921	8292	701
922	8299	692
923	8305	683
924	8311	673
925	8318	664
926	8327	655
927	8335	646
928	8340	637
929	8351	628
930	8357	619
931	8367	610
932	8390	602
933	8402	593
934	8416	585
935	8424	576
936	8454	568
937	8460	559
938	8466	549
939	8471	540
940	8478	531
941	8494	523
942	8505	514
943	8512	504
944	8522	496
945	8530	486
946	8535	477
947	8545	468
948	8550	459
949	8560	450
950	8575	441
951	8586	432
952	8593	423
953	8601	414
954	8610	405
955	8618	396
956	8625	387
957	8631	378
958	8640	369
959	8647	360
960	8655	351
961	8660	342
962	8668	333
963	8677	324
964	8684	314
965	8689	305
966	8694	296
967	8703	287
968	8708	278
969	8715	269
970	8721	260
971	8727	251
972	8736	242
973	8742	233
974	8749	224
975	8756	215
976	8775	206
977	8786	197
978	8796	188
979	8811	179
980	8818	170
981	8828	161
982	8838	152
983	8845	143
984	8850	134
985	8856	125
986	8863	116
987	8869	107
988	8875	98
989	8881	89
990	8892	80
991	8898	71
992	8907	62
993	8913	53
994	8919	44
995	8927	35
996	8933	26
997	8939	17
998	8945	8
999	8951	0
